Geneid	Chr	Start	End	Strand	Length	Bas.1	Bas.2	Bas.3	Ferro.3	Gad.1	Gad.2	Gad.3	LaCl.1	LaCl.2	LaCl.3	LaOx.1	LaOx.2	LaOx.3	LaP.1	LaP.2	LaP.3	Lop.1	Lop.2	Lop.3	MinLaCl.1	MinLaCl.2	MinLaCl.3	Mon.1	Mon.2	Mon.3	Xen.1	Xen.2	Xen.3
RHAL1_00565	RHAL1_chromosome	586853	587635	-	783	1367	1099	1694	1127	1062	1039	1577	946	1036	766	1081	860	646	833	352	1067	1107	805	952	479	737	790	594	615	602	631	981	1554
RHAL1_00566	RHAL1_chromosome	587830	588120	+	291	751	288	420	809	612	694	1041	407	430	403	359	405	396	597	272	729	379	371	369	240	451	345	396	378	425	959	1290	2495
RHAL1_00567	RHAL1_chromosome	588294	589529	-	1236	3266	1222	1562	3958	3977	3300	5044	2762	2710	1798	2597	2226	2454	1889	602	2468	2415	2426	2232	1277	2058	1682	2004	1839	1742	1821	2401	3765
RHAL1_00568	RHAL1_chromosome	589744	590892	+	1149	2994	1138	1256	1869	2723	2770	4060	2650	2321	1743	2424	1979	2241	1877	624	2547	3389	2972	2821	1170	1909	1940	2046	1537	1539	1690	2206	3570
RHAL1_00569	RHAL1_chromosome	590895	591344	+	450	743	292	422	820	767	669	960	1017	785	742	597	700	681	711	253	905	738	640	708	383	514	507	687	556	467	715	1077	1731
RHAL1_00570	RHAL1_chromosome	591471	593027	+	1557	1921	689	953	2221	1977	1848	2778	2156	2116	1685	1792	1387	1567	2096	761	2606	1809	1715	1777	883	1303	1113	1250	1267	1384	2097	3289	5822
RHAL1_00571	RHAL1_chromosome	592997	593209	+	213	181	46	93	233	252	186	283	216	239	228	184	127	144	236	87	293	131	169	170	96	138	114	157	181	141	229	326	489
RHAL1_00572	RHAL1_chromosome	593264	593845	+	582	476	146	190	483	803	811	1048	550	598	434	457	321	357	390	155	658	434	458	489	207	354	271	365	277	330	465	732	966
RHAL1_00573	RHAL1_chromosome	593842	594465	+	624	1201	529	562	1115	1557	1325	2087	994	984	610	905	740	680	960	415	1377	897	1035	960	515	865	765	988	910	806	721	1361	1905
RHAL1_00574	RHAL1_chromosome	594956	596746	-	1791	9389	4101	3913	9715	14434	11857	16940	8215	7864	5507	8052	6855	4637	7810	3289	10093	7976	8610	7853	3847	5758	5529	8102	6697	6818	5740	8356	12370
RHAL1_00575	RHAL1_chromosome	596762	599095	-	2334	10538	3887	3844	11513	17403	14534	20763	12191	12493	7607	9392	7955	6170	9710	3953	13048	8366	8676	9014	4234	6504	6068	9241	8050	7798	8900	11441	16479
RHAL1_00576	RHAL1_chromosome	599095	600231	-	1137	3506	963	1196	4083	6574	5472	8037	3638	3705	2794	2877	2534	1963	2865	1142	4007	2940	2341	3084	1159	1934	1617	2754	2039	2073	2606	3169	4826
RHAL1_00577	RHAL1_chromosome	600270	600740	-	471	1243	382	337	2036	2020	1837	2763	1450	1427	1207	1489	1131	1222	1330	553	2132	1310	1039	1230	495	730	640	1367	1076	1110	1835	2199	3189
RHAL1_00578	RHAL1_chromosome	600740	602425	-	1686	11403	3052	3712	19642	16491	14886	23409	11773	12112	8636	13890	11993	12091	14570	5479	25772	9573	8939	9143	5269	7474	7106	17169	13103	13734	17731	26232	42132
RHAL1_00579	RHAL1_chromosome	602616	603611	-	996	891	435	694	628	801	778	1159	1049	1003	790	1166	838	856	1280	463	1695	1297	1068	1026	691	1023	842	873	884	813	578	880	1307
RHAL1_00580	RHAL1_chromosome	603791	605086	+	1296	5904	1033	1645	5851	2887	2271	4061	3869	3617	3565	3963	2973	5909	9044	3270	12309	2500	2545	2778	1059	2003	1773	4378	4353	3392	2274	2444	3569
RHAL1_00581	RHAL1_chromosome	605184	607367	+	2184	4189	1279	1596	5211	3002	2837	4096	4375	3860	3691	4156	3222	4538	5177	2113	7483	3452	3134	3458	1394	2172	2264	3483	3252	2714	1680	2041	2931
RHAL1_00582	RHAL1_chromosome	607411	608481	-	1071	12808	5920	7189	25813	15059	13509	18199	10464	9850	8585	14401	11352	9383	12246	4961	15107	10977	10063	10039	4597	6989	6796	7490	7948	8102	5515	8867	13779
RHAL1_00583	RHAL1_chromosome	608710	608973	+	264	789	317	541	407	531	635	839	699	630	597	693	530	483	1032	411	1498	888	787	845	365	546	521	642	584	743	1086	1495	2123
RHAL1_00584	RHAL1_chromosome	609127	610008	+	882	2881	1588	2037	1251	1569	1423	2212	2006	1869	1822	2347	2017	1677	3846	1591	4554	3820	3269	3466	1302	2088	2040	2414	2904	2416	1610	2430	3511
RHAL1_00585	RHAL1_chromosome	610005	610730	+	726	375	92	157	202	224	248	361	360	323	215	410	309	337	697	226	838	243	281	213	255	262	232	359	410	360	153	261	390
RHAL1_00586	RHAL1_chromosome	610811	612181	+	1371	279	157	288	197	175	194	268	560	522	383	629	413	356	447	173	679	546	493	386	306	393	448	360	343	259	319	316	427
RHAL1_00587	RHAL1_chromosome	612221	612493	+	273	146	53	97	30	75	106	149	77	69	78	89	86	122	229	131	309	195	123	170	55	116	119	159	219	125	164	218	310
RHAL1_00588	RHAL1_chromosome	612484	613134	+	651	592	160	200	216	355	338	506	483	388	369	605	443	568	1113	496	1565	676	548	527	303	463	443	930	906	708	354	476	775
RHAL1_00589	RHAL1_chromosome	613150	614025	+	876	433	112	137	261	206	215	382	271	233	275	455	407	497	1764	632	2379	433	319	419	180	239	250	997	868	843	546	745	1131
RHAL1_00590	RHAL1_chromosome	614036	614653	-	618	2085	711	722	1273	993	797	1601	1143	1203	1000	1835	1714	1638	7742	3197	9261	2394	1811	2101	617	868	975	3979	4513	4191	3273	5373	7873
RHAL1_00591	RHAL1_chromosome	614650	616008	-	1359	3374	1257	1583	1569	1676	1400	2480	2113	2037	1682	2834	2388	2411	11121	4536	13898	4219	3320	3958	1367	1778	1924	6281	6683	6042	5642	6426	10014
RHAL1_00592	RHAL1_chromosome	616397	617305	+	909	280882	200398	239358	376128	207376	161194	255583	340784	478143	344492	372579	299330	248859	183418	68663	257494	345791	344748	323350	198585	279219	238199	132943	115975	130611	105173	163554	245488
RHAL1_00593	RHAL1_chromosome	617536	619731	+	2196	1598	763	1308	2047	1324	1238	1661	1090	1128	987	930	913	902	1343	472	1998	1158	1208	1191	479	734	676	644	664	502	867	1145	1578
RHAL1_00594	RHAL1_chromosome	619918	620838	+	921	21898	4796	6980	38899	12183	7200	17156	2490	1963	2036	2802	2615	1967	4038	1527	5420	2674	4968	6013	1145	1918	1575	1362	1676	1659	7689	12216	19594
RHAL1_00595	RHAL1_chromosome	620969	622597	+	1629	1216	762	836	14553	1166	664	1241	711	546	535	449	416	840	815	283	1362	711	632	751	239	417	367	297	302	275	773	915	1482
RHAL1_00596	RHAL1_chromosome	622597	623205	+	609	65	27	35	229	42	39	70	29	16	24	17	20	27	31	9	63	18	35	35	16	13	14	10	11	12	22	31	39
RHAL1_00597	RHAL1_chromosome	623202	624380	+	1179	1333	857	1582	7016	932	669	1047	830	599	527	803	689	644	697	222	1095	1670	1458	1756	512	940	820	462	454	404	818	937	1306
RHAL1_00598	RHAL1_chromosome	624377	625516	+	1140	410	239	218	987	305	263	363	294	213	204	279	249	389	611	269	924	431	405	412	164	261	182	460	269	307	304	323	398
RHAL1_00599	RHAL1_chromosome	625513	626874	+	1362	275	130	164	807	222	202	237	235	187	191	262	146	221	373	146	503	215	245	256	117	150	177	225	172	210	175	223	339
RHAL1_00600	RHAL1_chromosome	626936	627430	+	495	588	420	504	3037	438	290	512	532	552	400	616	467	533	815	336	1176	646	724	580	267	398	340	520	410	436	624	835	1048
RHAL1_00601	RHAL1_chromosome	627667	628395	+	729	498	212	295	1996	320	183	399	410	479	361	324	273	346	601	227	747	450	393	449	196	236	264	286	292	253	446	627	830
RHAL1_00602	RHAL1_chromosome	628437	629705	+	1269	2832	1139	1955	11218	1929	1210	2275	1822	1940	1593	1889	1562	1637	3370	1164	4094	1944	1850	1796	1022	1488	1432	1712	1746	2035	1685	2622	3812
RHAL1_00603	RHAL1_chromosome	629860	631350	+	1491	3634	1505	2549	5382	2405	1991	3810	2586	2705	2021	2874	2386	1553	2030	813	2745	2568	2470	2428	1741	1927	2048	1079	1155	1086	1988	2358	3469
RHAL1_00604	RHAL1_chromosome	631382	632404	+	1023	2601	851	1203	7599	1919	1318	2669	1306	1148	882	1459	1101	954	1284	560	1722	1102	1120	1070	606	866	722	666	633	573	821	1152	1941
RHAL1_00605	RHAL1_chromosome	632408	632755	+	348	855	217	318	2690	729	509	939	181	170	177	271	150	231	366	142	590	206	197	269	103	170	143	156	186	128	259	451	585
RHAL1_00606	RHAL1_chromosome	632763	633167	+	405	765	130	226	2043	501	318	695	102	76	36	143	92	98	155	80	208	98	157	170	38	62	43	56	63	72	180	213	296
RHAL1_00607	RHAL1_chromosome	633232	633666	+	435	533	214	290	5782	475	311	577	200	139	154	162	111	332	256	80	538	91	208	183	69	89	90	44	48	41	225	358	509
RHAL1_00608	RHAL1_chromosome	633669	633935	+	267	305	101	149	1415	249	203	312	277	174	227	350	282	335	579	192	803	161	236	148	137	150	234	307	347	354	330	384	551
RHAL1_00609	RHAL1_chromosome	633952	634158	-	207	330	178	364	726	187	234	424	201	182	223	227	213	213	759	359	685	202	222	299	98	156	145	518	768	636	1094	1910	2754
RHAL1_00610	RHAL1_chromosome	634322	634687	+	366	275	165	258	397	188	178	251	170	197	228	285	248	171	330	156	534	375	255	245	182	181	219	286	243	317	340	518	686
RHAL1_00611	RHAL1_chromosome	634726	635076	-	351	144	46	120	251	110	81	117	97	108	73	170	86	111	267	82	204	59	96	97	75	94	75	110	181	133	204	352	480
RHAL1_00612	RHAL1_chromosome	635120	636181	-	1062	223	62	106	216	146	132	262	200	155	173	263	176	260	437	222	609	290	235	217	164	234	185	293	264	211	407	495	760
RHAL1_00613	RHAL1_chromosome	636230	638110	-	1881	1053	470	670	1230	673	518	791	889	880	747	1007	886	769	2293	612	2783	952	809	778	526	672	867	1374	1449	1505	1100	1607	2199
RHAL1_00614	RHAL1_chromosome	638200	639138	-	939	445	260	380	410	312	335	554	544	539	406	536	472	456	767	337	1175	646	450	580	316	407	447	588	625	518	461	785	1042
RHAL1_00615	RHAL1_chromosome	639470	639835	+	366	2269	630	962	789	1214	1332	1901	1036	1110	1051	1187	974	1672	3626	1272	4296	1131	1197	1165	510	1115	757	2043	2208	1996	1626	1961	2610
RHAL1_00616	RHAL1_chromosome	639828	640490	+	663	671	223	268	575	436	375	733	317	446	355	484	402	588	1026	402	1269	305	239	316	255	350	242	715	622	515	292	467	597
RHAL1_00617	RHAL1_chromosome	640497	641603	-	1107	3555	2048	2468	5400	2236	1876	2922	2307	2485	2577	3219	2501	2612	4572	1682	7020	2229	2445	2493	1495	2105	1956	2890	3412	2731	2666	3930	5443
RHAL1_00618	RHAL1_chromosome	641874	644384	+	2511	8118	3666	5609	8355	5190	5146	7975	8167	7999	7224	9283	8097	8016	11376	4755	14984	8731	7674	7194	4669	6801	6507	7258	7482	6678	4503	5992	9438
RHAL1_00619	RHAL1_chromosome	644381	645283	-	903	428	202	168	385	295	297	438	482	441	356	498	389	652	665	325	896	487	457	433	234	356	319	456	384	390	199	306	403
RHAL1_00620	RHAL1_chromosome	645383	646210	+	828	519	247	245	495	328	288	518	357	403	370	463	380	430	795	313	1059	488	512	462	264	388	374	636	613	473	316	408	534
RHAL1_00621	RHAL1_chromosome	646217	647746	-	1530	450	169	236	433	368	344	478	348	351	212	511	355	317	607	216	869	271	287	267	126	185	245	363	328	338	463	607	941
RHAL1_00622	RHAL1_chromosome	647754	648413	-	660	736	308	376	568	500	547	672	315	334	353	456	412	414	680	234	786	421	535	442	155	253	331	476	375	453	532	958	1389
RHAL1_00623	RHAL1_chromosome	648434	649495	-	1062	406	158	214	253	365	345	460	246	317	202	345	305	266	423	135	657	402	319	308	148	202	254	285	277	309	356	521	760
RHAL1_00624	RHAL1_chromosome	649488	651080	-	1593	453	226	230	296	410	434	589	389	349	215	468	392	283	584	200	759	342	323	354	178	246	266	378	290	373	416	492	810
RHAL1_00625	RHAL1_chromosome	651077	652180	-	1104	256	104	115	138	197	335	357	166	155	122	225	131	190	318	103	497	180	145	190	70	164	124	256	228	212	280	278	525
RHAL1_00626	RHAL1_chromosome	652192	653286	-	1095	215	64	88	175	177	212	329	177	177	138	240	184	189	369	123	531	122	129	123	75	119	151	253	170	211	268	312	486
RHAL1_00627	RHAL1_chromosome	653292	654149	-	858	564	240	284	415	339	424	644	299	254	195	383	283	259	620	212	751	376	447	352	140	217	297	340	419	365	734	1046	1627
RHAL1_00628	RHAL1_chromosome	654161	655096	-	936	973	521	582	1043	674	734	1042	727	767	691	1076	980	651	1261	465	1672	1049	878	746	520	649	844	716	808	873	1054	1500	2201
RHAL1_00629	RHAL1_chromosome	655096	656526	-	1431	2089	771	1155	1540	1975	2352	2863	1195	1043	882	1414	1073	973	2937	1097	3658	1638	1363	1243	849	916	1201	1612	1738	1965	2732	4287	6471
RHAL1_00630	RHAL1_chromosome	656560	657564	-	1005	517	250	329	325	567	786	845	462	434	399	634	483	370	702	198	1110	622	510	467	265	377	435	503	464	554	559	985	1411
RHAL1_00631	RHAL1_chromosome	657767	658444	+	678	1662	883	1021	1882	1296	1291	1796	1822	1842	1358	1911	1481	1131	1798	647	2570	1243	1180	1153	841	1173	1058	1039	1003	1203	1763	2551	3835
RHAL1_00632	RHAL1_chromosome	658503	658883	+	381	664	229	478	1539	537	551	868	846	882	611	862	911	520	1126	436	1498	459	385	407	344	430	459	486	565	687	1580	2619	3645
RHAL1_00633	RHAL1_chromosome	658898	659497	+	600	1003	473	696	1091	677	682	839	926	788	615	1080	1016	572	822	344	1319	792	820	709	482	755	703	618	655	638	1258	1701	2327
RHAL1_00634	RHAL1_chromosome	659627	659734	-	108	575	304	287	836	326	285	485	486	354	317	546	497	320	658	181	881	406	420	389	230	349	320	445	504	491	753	1165	1521
RHAL1_00636	RHAL1_chromosome	660056	660628	-	573	4028	1930	2398	2369	2533	2226	3943	2217	2645	2547	2459	2123	2763	3745	1617	4835	2415	2415	2089	766	1449	1333	1781	2030	1880	2154	3277	4905
RHAL1_00637	RHAL1_chromosome	660831	662231	+	1401	3452	3213	3727	3346	2033	1794	2885	3132	2783	2913	4055	3960	2068	2928	1237	4561	4535	4673	4214	1790	2643	2448	2075	2736	2531	4342	7134	9397
RHAL1_00638	RHAL1_chromosome	662404	663924	+	1521	21975	8177	8523	8222	15886	16619	24171	10958	10521	10243	14080	11397	10880	39509	13807	53196	11881	11999	12242	5845	9316	8629	23402	23131	26794	49807	86504	138008
RHAL1_00639	RHAL1_chromosome	664023	664430	+	408	22516	15193	18363	20486	19825	17321	29406	38671	46989	39841	40493	32338	23760	21349	9263	32415	38781	30453	27359	13760	20942	20157	14271	11063	12986	14616	22153	32704
RHAL1_00640	RHAL1_chromosome	664512	664805	-	294	5747	1103	1482	724	2879	2539	3918	2637	2500	2694	4083	3182	4154	7370	3167	8500	2123	2529	2891	1236	2537	1889	4393	3786	3240	1919	2927	4090
RHAL1_00641	RHAL1_chromosome	664933	665580	-	648	1496	565	1048	842	800	754	1095	1169	1264	1078	1296	1032	1313	2736	1050	2826	1438	1223	1343	672	1153	1000	1558	1614	1929	1439	1804	2493
RHAL1_00642	RHAL1_chromosome	665743	666234	+	492	1579	539	744	1006	970	926	1486	1147	958	954	1192	889	1587	3406	1388	3924	1253	1144	1049	470	927	750	1635	1653	1468	1042	1204	1963
RHAL1_00643	RHAL1_chromosome	666328	667305	+	978	9082	9769	13370	5003	5506	4620	6536	8217	7676	5690	8910	7660	4125	4026	1422	5764	15447	13882	12171	4630	8532	8254	3225	2689	3140	4165	5509	8868
RHAL1_00644	RHAL1_chromosome	667360	667584	+	225	3381	3875	6770	5559	4215	4536	6463	4815	5042	3943	5930	5875	2050	1451	624	1944	7755	6681	4827	2853	4036	4854	1166	1091	1392	2945	3668	4872
RHAL1_00645	RHAL1_chromosome	667577	668509	-	933	1440	1111	1390	1440	1644	2029	2264	1215	966	871	1344	1122	774	870	396	1137	2437	1814	1586	921	1538	1382	588	561	488	838	971	1312
RHAL1_00646	RHAL1_chromosome	668553	669119	-	567	2177	1217	1672	7898	1430	1141	2278	1856	1974	2093	2332	1909	1619	4667	1700	5929	2294	2264	2192	845	1185	1375	2074	2943	2349	7581	10191	16092
RHAL1_00647	RHAL1_chromosome	669196	669408	-	213	503	253	409	317	441	406	558	476	489	444	602	560	480	1105	362	1964	967	763	810	370	481	491	562	578	659	2450	3217	4510
RHAL1_00648	RHAL1_chromosome	669472	670218	+	747	457	263	367	488	306	361	495	554	602	487	578	517	449	609	224	741	648	546	613	282	371	413	449	374	371	328	487	651
RHAL1_00649	RHAL1_chromosome	670316	670666	+	351	4419	3691	5178	8257	3756	3238	5850	6608	5048	4016	7806	6577	3112	2176	871	3291	7297	6918	6248	3439	4315	3962	1537	1260	1528	3001	4272	5974
RHAL1_00650	RHAL1_chromosome	670742	672094	+	1353	2143	1246	1658	4174	1721	1616	2671	2089	1403	1135	1837	1677	1237	1906	817	2507	2340	2009	1937	1062	1563	1305	1376	1261	1347	1486	1947	2577
RHAL1_00651	RHAL1_chromosome	672091	673194	+	1104	887	436	617	807	676	639	1097	959	625	653	983	904	800	1034	402	1460	1347	1199	1176	562	874	790	698	633	611	465	544	794
RHAL1_00652	RHAL1_chromosome	673385	674821	+	1437	2911	1182	1573	2866	1670	1382	2177	2785	2381	2078	3005	2468	3095	4119	1461	5734	2549	2529	2726	937	1666	1681	2395	2703	2233	1733	2115	3014
RHAL1_00653	RHAL1_chromosome	674840	675757	-	918	481	155	111	217	270	228	405	343	281	277	398	274	464	672	223	1061	468	423	463	327	374	380	602	518	386	172	191	304
RHAL1_00654	RHAL1_chromosome	675803	676069	+	267	304	117	150	84	179	84	224	194	142	135	233	200	221	476	233	598	228	222	242	132	222	182	380	348	266	145	219	262
RHAL1_00655	RHAL1_chromosome	676074	678320	+	2247	15148	17784	24228	13624	8546	8139	12050	11004	12468	11367	13976	12460	7789	6950	2881	8806	12195	10154	8416	4990	6730	7661	3581	3324	3669	7412	11280	15989
RHAL1_00656	RHAL1_chromosome	678324	678581	-	258	26428	34197	53268	21721	13387	13114	20211	27350	35422	26802	29595	25740	17872	13924	6118	16719	31307	25215	22127	11349	18787	21146	7890	6458	7301	15747	26406	40696
RHAL1_00657	RHAL1_chromosome	678760	681297	+	2538	26671	25368	37268	23165	18820	16429	27018	44910	50024	39580	50153	41896	24684	20259	8815	27300	42855	37103	31971	20790	28958	29458	13770	12712	12100	18948	24831	33264
RHAL1_00658	RHAL1_chromosome	681374	681934	-	561	5690	1506	2208	3085	2623	2913	4332	1311	1032	863	1486	1426	1218	5419	1785	6178	1115	1161	1566	602	717	921	1374	1639	1568	2911	6510	11242
RHAL1_00659	RHAL1_chromosome	682287	682622	+	336	10240	3693	5005	11022	4381	4300	6878	3019	3383	2914	3180	2801	3201	5288	1972	4999	3717	3392	3216	1668	2671	2510	2370	2625	2787	4031	6544	12450
RHAL1_00660	RHAL1_chromosome	682828	684159	+	1332	2498	678	931	2873	951	784	1745	683	708	606	742	678	758	1543	544	2055	834	808	956	357	528	415	728	770	698	2193	2370	3686
RHAL1_00661	RHAL1_chromosome	684169	685134	-	966	2612	1063	1500	3564	1761	1776	2518	2020	2108	1883	2615	2245	2327	4782	2003	5297	1580	1964	1602	1305	1921	1597	2861	3245	2673	1647	2739	4311
RHAL1_00662	RHAL1_chromosome	685274	686047	+	774	1748	604	822	945	1115	1069	1594	1452	1462	1076	1599	1239	1530	2862	1114	3446	1402	1267	1209	1017	1533	1341	2127	1989	1767	1070	1258	2078
RHAL1_00663	RHAL1_chromosome	686085	686966	-	882	3975	1511	2535	6003	2120	2041	2941	2678	2819	2526	3535	2869	2775	5947	2317	7223	2188	2275	2242	1394	1930	2308	3143	3557	3549	3642	6094	8593
RHAL1_00664	RHAL1_chromosome	686970	688052	-	1083	4153	1310	2172	3259	2597	2475	3664	2753	2648	2138	3162	2758	2855	6135	2449	7650	2489	2518	2425	1385	2287	2227	3485	3791	3611	2678	4166	6393
RHAL1_00665	RHAL1_chromosome	688332	690140	+	1809	13889	4850	8664	10688	8746	10361	14471	12466	14280	12015	19553	14440	15620	37282	13367	42694	8015	7845	7754	10674	14388	10931	24259	26483	20369	9325	15435	22122
RHAL1_00666	RHAL1_chromosome	690148	691044	+	897	1170	385	584	1049	819	873	1235	1346	1249	1187	1879	1378	1492	2171	826	2860	1037	987	1057	693	996	891	1594	1310	1171	556	708	1086
RHAL1_00667	RHAL1_chromosome	691142	692158	+	1017	2758	1374	2385	5918	2472	2809	3863	3014	2861	2134	3285	2684	2031	2886	1206	3698	2863	2327	2170	1694	2355	2366	2085	2195	2113	1934	2427	3165
RHAL1_00668	RHAL1_chromosome	692423	693574	+	1152	27098	27752	36887	40028	17768	16638	26065	26884	29349	27239	34930	27361	23359	19908	9133	25931	42622	38379	35622	16867	25616	26219	13965	13502	12346	22267	33244	48777
RHAL1_00669	RHAL1_chromosome	693571	694536	+	966	26022	28698	36380	34876	17124	16522	25666	32431	33497	24908	33806	28646	21332	19519	8585	24239	40321	35030	34141	14362	22365	22943	12655	13395	12823	17471	30762	43672
RHAL1_00670	RHAL1_chromosome	694595	696292	+	1698	6838	4083	5622	5372	4881	4297	7304	6368	5358	4463	7150	5443	5346	6750	2833	9815	8300	6839	6914	3355	4938	4287	4961	4533	4007	3133	3835	5327
RHAL1_00671	RHAL1_chromosome	696301	698094	+	1794	14195	10601	15723	18514	9527	8746	14288	12479	13869	12193	13680	11921	11453	16598	6432	20850	16228	14152	13520	7672	11314	10883	10794	11302	10304	10721	16966	21878
RHAL1_00672	RHAL1_chromosome	698204	698398	-	195	11202	8630	11015	17326	10583	9281	16540	22569	26699	21244	22306	18167	14384	16105	7410	23052	22716	19639	16456	11311	16723	16633	9056	7546	8042	8770	12680	17538
RHAL1_00673	RHAL1_chromosome	698464	699948	-	1485	127764	102034	103109	207807	87523	76841	127476	217617	283022	226377	202348	173796	157944	114637	48722	156488	160328	152362	143321	74872	107382	117519	81026	55733	64503	48048	80775	114062
RHAL1_00674	RHAL1_chromosome	700076	701332	-	1257	2895	1029	1983	2619	2280	2820	3498	2057	2873	2485	4391	2828	3687	7864	2601	9823	1585	1328	1569	2917	3788	1948	6811	6756	4488	1352	2105	2764
RHAL1_00675	RHAL1_chromosome	701499	702179	-	681	1389	543	875	820	1219	1343	1867	1174	1273	1275	1673	1306	1571	3211	1324	4214	1437	1280	1235	875	1348	1095	2881	2688	1891	641	856	1365
RHAL1_00676	RHAL1_chromosome	702382	704445	+	2064	2826	800	1287	543	2016	2240	2795	2983	2826	3236	5351	3196	4121	7723	2907	9598	2422	2015	2183	3274	4628	3001	7726	6736	4906	978	1310	1620
RHAL1_00677	RHAL1_chromosome	705099	705470	+	372	14351	7426	13571	30124	11377	10108	16919	20419	27598	21653	24907	21227	22297	35358	12530	43701	18418	17534	16439	15222	21301	17207	27756	30624	23657	17912	26897	39589
RHAL1_00678	RHAL1_chromosome	705576	707021	-	1446	3765	1618	2266	5805	2181	2136	3216	3076	3040	2644	3619	3055	2931	5569	2446	7219	2524	2235	2519	1410	1893	1787	3238	3484	3167	3436	4714	6854
RHAL1_00679	RHAL1_chromosome	707172	708392	+	1221	8438	4033	5819	4693	4856	5045	6979	6086	6604	5874	8990	6799	8446	17606	6743	20321	6724	6116	6466	4848	6562	5963	11115	12676	10256	6019	10053	13517
RHAL1_00680	RHAL1_chromosome	708558	709415	+	858	12407	10507	11471	4226	6645	5900	8430	7429	6748	5566	7902	6963	4109	3802	1460	5741	14443	11924	11151	4594	7388	6204	2825	2801	2663	3886	5276	7611
RHAL1_00681	RHAL1_chromosome	709481	710254	-	774	92994	83338	105439	35810	26280	21423	30729	62411	41559	36393	48049	44055	25743	26538	9743	36940	132093	129916	119978	33487	59968	57000	15398	17595	18285	18225	30665	38684
RHAL1_00682	RHAL1_chromosome	710424	710591	-	168	2899	1081	1475	2822	891	856	1462	1308	1437	1293	1852	1716	1675	2357	833	2474	1034	1022	1021	724	912	938	1505	1714	1665	1682	3106	4549
RHAL1_00683	RHAL1_chromosome	710731	711378	-	648	1716	926	1235	688	762	803	1196	1415	1357	1180	1735	1333	1143	1915	785	2138	1558	1353	1412	869	1118	1137	1564	1516	1500	887	1348	1896
RHAL1_00684	RHAL1_chromosome	711495	712676	+	1182	70879	63800	86353	101891	59969	50707	83774	136854	143200	114699	142364	118342	74149	38358	16932	57323	125939	112759	94561	57015	76716	83911	28908	22305	26422	32352	47596	64337
RHAL1_00685	RHAL1_chromosome	712836	713495	+	660	7103	6053	9499	11959	5079	4746	7222	15697	15219	10435	14137	13038	5369	5206	2144	6981	12463	10507	10117	6652	9346	9179	3461	3295	4114	6901	9929	13310
RHAL1_00686	RHAL1_chromosome	713651	714604	+	954	2539	1059	1570	1488	1094	1107	1533	1262	1166	950	1481	1176	1267	2436	1018	2544	1578	1475	1613	649	1094	1088	1393	1733	1391	1281	1998	2738
RHAL1_00687	RHAL1_chromosome	714684	715082	+	399	714	250	401	341	341	428	645	483	619	508	678	518	533	621	266	742	634	527	621	177	372	365	451	454	409	385	512	780
RHAL1_00688	RHAL1_chromosome	715079	716119	-	1041	258	108	172	228	191	124	222	219	212	145	221	140	167	182	99	266	298	235	268	98	161	155	148	150	112	115	184	254
RHAL1_00689	RHAL1_chromosome	716116	716580	-	465	114	65	70	102	97	78	81	64	79	72	137	84	98	98	74	172	147	97	164	75	92	105	133	94	70	45	76	90
RHAL1_00690	RHAL1_chromosome	716604	717530	-	927	242	182	209	113	168	198	222	300	258	210	337	236	243	306	108	396	433	338	355	161	333	273	210	198	124	116	118	264
RHAL1_00691	RHAL1_chromosome	717628	718074	+	447	365	162	377	115	145	225	223	248	213	175	278	303	263	481	154	379	476	413	371	163	245	272	314	386	314	154	194	356
RHAL1_00692	RHAL1_chromosome	718151	719353	+	1203	1867	1396	1699	683	1496	1289	1607	2143	2112	1712	2434	1793	1429	1614	686	2190	3164	2545	2531	1376	2037	1827	1209	1014	1076	1128	1279	1892
RHAL1_00693	RHAL1_chromosome	719443	720855	-	1413	8591	2960	3599	54828	11052	7573	14118	7060	6639	6727	5295	4703	9551	13111	4794	16313	5475	5421	5889	2229	3700	3759	5093	5514	5494	4028	6098	8717
RHAL1_00694	RHAL1_chromosome	721164	723125	+	1962	18870	13851	17667	11002	7647	7465	10895	13612	11604	10762	14536	12870	11503	18200	6974	22319	17795	16614	16428	7082	11461	11359	12109	13133	11875	7427	10862	15008
RHAL1_00696	RHAL1_chromosome	725634	726500	-	867	373	138	250	189	263	265	309	415	420	381	477	453	299	486	195	722	376	438	386	306	359	363	371	426	377	275	230	371
RHAL1_00697	RHAL1_chromosome	726589	727173	+	585	259	86	185	173	216	208	304	219	233	247	382	363	233	530	194	732	208	219	214	224	228	239	392	433	241	93	120	162
RHAL1_00698	RHAL1_chromosome	727173	727553	+	381	1337	885	1189	1445	907	962	1161	1234	1238	994	1656	1232	926	1789	636	2072	1162	1169	1095	940	1112	1084	1477	1509	1274	684	1067	1538
RHAL1_00699	RHAL1_chromosome	727576	729090	-	1515	13185	8692	11851	10971	11453	11420	16215	14863	15782	12601	18267	14054	12589	20137	7869	24803	16616	14903	13764	10240	14392	12241	15562	14965	12331	6126	9027	12684
RHAL1_00700	RHAL1_chromosome	729287	729748	+	462	15486	12500	14981	11320	7627	6203	8959	14190	12486	10520	15191	11871	8219	5787	2211	8987	15086	15488	14482	6234	9103	8060	4671	4209	4605	4778	6589	8662
