locus_tag,length,genes,EC,product [prokka],KO,product [KEGG],annotation [KEGG GENES ]
RHAL1_00568,1149,yngJ,1.3.99.-,putative acyl-CoA dehydrogenase YngJ,K06446,acyl-CoA dehydrogenase [EC:1.3.99.-],K06446 acyl-CoA dehydrogenase [EC:1.3.99.-] 
RHAL1_00569,450, , ,hypothetical protein,K07107,acyl-CoA thioester hydrolase [EC:3.1.2.-],K07107 acyl-CoA thioester hydrolase [EC:3.1.2.-] 
RHAL1_00570,1557, , ,Aldehyde dehydrogenase (NAD(P)+),,,no KO assigned 
RHAL1_00571,213, , ,Aldehyde dehydrogenase (NAD(P)+),,,no KO assigned 
RHAL1_00572,582,paaE_1, ,beta-ketoadipyl CoA thiolase,K00626,acetyl-CoA C-acetyltransferase [EC:2.3.1.9],K00632 acetyl-CoA acyltransferase [EC:2.3.1.16] 
RHAL1_00573,624, ,2.3.1.16,3-ketoacyl-CoA thiolase (fragment),K00626,acetyl-CoA C-acetyltransferase [EC:2.3.1.9],K00626 acetyl-CoA C-acetyltransferase [EC:2.3.1.9] 
RHAL1_00574,1791,dmdC,1.3.8.-,3-methylmercaptopropionyl-CoA dehydrogenase,,,K20035 3-(methylsulfanyl)propanoyl-CoA dehydrogenase [EC:1.3.99.41] 
RHAL1_00575,2334, , ,3-hydroxyacyl-CoA dehydrogenase,,,K07516 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35] 
RHAL1_00576,1137,fadA,2.3.1.16,3-ketoacyl-CoA thiolase (thiolase I),K00626|K00632 ,acetyl-CoA C-acetyltransferase [EC:2.3.1.9]|acetyl-CoA acyltransferase [EC:2.3.1.16] ,K00632 acetyl-CoA acyltransferase [EC:2.3.1.16] 
RHAL1_00577,471, , ,MerR family transcriptional regulator,,,no KO assigned 
RHAL1_00578,1686,lcfA,6.2.1.3,Long-chain-fatty-acid--CoA ligase,K00666|K01897 ,fatty-acyl-CoA synthase [EC:6.2.1.-]|long-chain acyl-CoA synthetase [EC:6.2.1.3] ,K01897 long-chain acyl-CoA synthetase [EC:6.2.1.3] 
RHAL1_00579,996, ,3.1.1.24,Beta-ketoadipate enol-lactone hydrolase,,,no KO assigned 
RHAL1_00580,1296, , ,Sugar transporter,K01991,polysaccharide biosynthesis/export protein,K01991 polysaccharide biosynthesis/export protein 
RHAL1_00581,2184, , ,hypothetical protein,,,no KO assigned 
RHAL1_00582,1071,recA, ,DNA strand exchange and recombination protein with protease and nuclease activity,K03553,recombination protein RecA,K03553 recombination protein RecA 
RHAL1_00583,264, , ,protein of unknown function,,,no KO assigned 
RHAL1_00584,882,argB,2.7.2.8,Acetylglutamate kinase,K00930,acetylglutamate kinase [EC:2.7.2.8],K00930 acetylglutamate kinase [EC:2.7.2.8] 
RHAL1_00585,726, , ,Pyrimidine 5'-nucleotidase,,,K07025 putative hydrolase of the HAD superfamily 
RHAL1_00586,1371, , ,"MFS transporter, DHA2 family, methylenomycin A resistance protein",K08166,"MFS transporter, DHA2 family, methylenomycin A resistance protein","K08166 MFS transporter, DHA2 family, methylenomycin A resistance protein "
RHAL1_00587,273, ,4.2.1.51,Prephenate dehydratase,,,no KO assigned 
RHAL1_00588,651, ,4.2.1.51,Prephenate dehydratase,,,K04518 prephenate dehydratase [EC:4.2.1.51] 
RHAL1_00589,876, , ,Alpha/beta hydrolase,K06889,uncharacterized protein,K06889 uncharacterized protein 
RHAL1_00590,618,exaE, ,Transcriptional activator protein ExaE,,,"K07689 two-component system, NarL family, invasion response regulator UvrY "
RHAL1_00591,1359, ,2.7.13.3,Histidine kinase,K07675,"two-component system, NarL family, sensor histidine kinase UhpB [EC:2.7.13.3]","K07675 two-component system, NarL family, sensor histidine kinase UhpB [EC:2.7.13.3] "
RHAL1_00592,909,rpoH, ,RNA polymerase sigma factor RpoH,K03089,RNA polymerase sigma-32 factor,K03089 RNA polymerase sigma-32 factor 
RHAL1_00593,2196, , ,hypothetical protein,K09667,protein O-GlcNAc transferase [EC:2.4.1.255],no KO assigned 
RHAL1_00594,921, , ,Flagellin,K02406,flagellin,K02406 flagellin 
RHAL1_00595,1629,fliF, ,Flagellar M-ring protein FliF,K02409,flagellar M-ring protein FliF,K02409 flagellar M-ring protein FliF 
RHAL1_00596,609, , ,hypothetical protein,,,no KO assigned 
RHAL1_00597,1179, , ,Chemotaxis protein MotB,K02557,chemotaxis protein MotB,K02557 chemotaxis protein MotB 
RHAL1_00598,1140, , ,hypothetical protein,K10564,chemotaxis protein MotC,K10564 chemotaxis protein MotC 
RHAL1_00599,1362, , ,protein of unknown function,K10565,chemotaxis protein MotD,K10565 chemotaxis protein MotD 
RHAL1_00600,495, , ,Lytic transglycosylase (fragment),,,no KO assigned 
RHAL1_00601,729,ftcR, ,Flagellar transcriptional regulator FtcR,K21603,"two-component system, OmpR family, flagellar system response regulator FtcR","K21603 two-component system, OmpR family, flagellar system response regulator FtcR "
RHAL1_00602,1269,flgE, ,Flagellar hook protein FlgE,K02390,flagellar hook protein FlgE,K02390 flagellar hook protein FlgE 
RHAL1_00603,1491, , ,Flagellar hook-associated protein 1 FlgK,K02396,flagellar hook-associated protein 1 FlgK,K02396 flagellar hook-associated protein 1 
RHAL1_00604,1023, , ,Flagellin,,,K02397 flagellar hook-associated protein 3 FlgL 
RHAL1_00605,348, , ,Flagellar protein FlaF,K06602,flagellar protein FlaF,K06602 flagellar biosynthesis activator protein FlaF 
RHAL1_00606,405,flbT, ,putative flagellum biosynthesis repressor protein FlbT,K06601,flagellar protein FlbT,K06601 flagellar biosynthesis repressor protein FlbT 
RHAL1_00607,435, , ,Flagellar hook capping protein,K02389,flagellar basal-body rod modification protein FlgD,K02389 flagellar basal-body rod modification protein FlgD 
RHAL1_00608,267,yscS, ,Yop proteins translocation protein S,K02420,flagellar biosynthetic protein FliQ,K02420 flagellar biosynthesis protein FliQ 
RHAL1_00609,207, , ,protein of unknown function,,,no KO assigned 
RHAL1_00610,366, , ,hypothetical protein,,,no KO assigned 
RHAL1_00611,351, , ,Glyoxalase,,,no KO assigned 
RHAL1_00612,1062, , ,Mannose-6-phosphate isomerase,K01809,mannose-6-phosphate isomerase [EC:5.3.1.8],K01809 mannose-6-phosphate isomerase [EC:5.3.1.8] 
RHAL1_00613,1881, , ,protein of unknown function,,,no KO assigned 
RHAL1_00614,939, , ,Pimeloyl-ACP methyl ester carboxylesterase,,,no KO assigned 
RHAL1_00615,366,dksA, ,RNA polymerase-binding transcription factor DksA,K06204,DnaK suppressor protein,K06204 DnaK suppressor protein 
RHAL1_00616,663,maiA,5.2.1.2,Maleylacetoacetate isomerase,K00799|K01800 ,glutathione S-transferase [EC:2.5.1.18]|maleylacetoacetate isomerase [EC:5.2.1.2] ,no KO assigned 
RHAL1_00617,1107, , ,hypothetical protein,,,no KO assigned 
RHAL1_00618,2511,cckA,2.7.13.3,Protein histidine kinase / Response regulator,K13587,"two-component system, cell cycle sensor histidine kinase and response regulat","K13587 two-component system, cell cycle sensor histidine kinase and response regulator CckA [EC:2.7."
RHAL1_00619,903, , ,hypothetical protein,,,no KO assigned 
RHAL1_00620,828, , ,putative DNA-binding protein,,,no KO assigned 
RHAL1_00621,1530,glpD_1,1.1.5.3,Glycerol-3-phosphate dehydrogenase,K00111,glycerol-3-phosphate dehydrogenase [EC:1.1.5.3],K21054 D-erythritol 1-phosphate dehydrogenase [EC:1.1.1.402] 
RHAL1_00622,660,fucA,4.1.2.17,L-fuculose-1-phosphate aldolase,K01628,L-fuculose-phosphate aldolase [EC:4.1.2.17],K01628 L-fuculose-phosphate aldolase [EC:4.1.2.17] 
RHAL1_00623,1062,yoaD, ,putative 2-hydroxyacid dehydrogenase YoaD,,,K00058 D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399] 
RHAL1_00624,1593,eryA,2.7.1.215,Erythritol kinase,K00862,erythritol kinase (D-erythritol 1-phosphate-forming) [EC:2.7.1.215],K00862 erythritol kinase (D-erythritol 1-phosphate-forming) [EC:2.7.1.215] 
RHAL1_00625,1104,sugC, ,Trehalose import ATP-binding protein SugC,,,K10112 multiple sugar transport system ATP-binding protein [EC:7.5.2.-] 
RHAL1_00626,1095,ugpC, ,sn-glycerol-3-phosphate import ATP-binding protein UgpC,,,K10112 multiple sugar transport system ATP-binding protein [EC:7.5.2.-] 
RHAL1_00627,858,sugB, ,Trehalose transport system permease protein SugB,,,K02026 multiple sugar transport system permease protein 
RHAL1_00628,936,sugA, ,Trehalose transport system permease protein SugA,,,K02025 multiple sugar transport system permease protein 
RHAL1_00629,1431, , ,Bacterial extracellular solute-binding protein,,,K02027 multiple sugar transport system substrate-binding protein 
RHAL1_00630,1005,lsrR_1, ,Transcriptional regulator LsrR,,,no KO assigned 
RHAL1_00631,678, , ,HAD family hydrolase,K01091,phosphoglycolate phosphatase [EC:3.1.3.18],no KO assigned 
RHAL1_00632,381, , ,hypothetical protein,,,no KO assigned 
RHAL1_00633,600, ,3.2.2.-,putative 3-methyladenine DNA glycosylase,K03652,DNA-3-methyladenine glycosylase [EC:3.2.2.21],K03652 DNA-3-methyladenine glycosylase [EC:3.2.2.21] 
RHAL1_00634,108, , ,hypothetical protein,,,no KO assigned 
RHAL1_00635,86, , ,tRNA-Leu(taa),,,no KO assigned 
RHAL1_00636,573, , ,hypothetical protein,,,no KO assigned 
RHAL1_00637,1401,yhjE, ,Inner membrane metabolite transport protein YhjE,,,no KO assigned 
RHAL1_00638,1521,acoD,1.2.1.3,Acetaldehyde dehydrogenase 2 (Acetaldehyde dehydrogenase II) (ACDH-II),K00138,aldehyde dehydrogenase [EC:1.2.1.-],K00138 aldehyde dehydrogenase [EC:1.2.1.-] 
RHAL1_00639,408, , ,Acetaldehyde dehydrogenase,K09959,uncharacterized protein,K09959 uncharacterized protein 
RHAL1_00640,294, , ,hypothetical protein,,,no KO assigned 
RHAL1_00641,648, , ,Antibiotic resistance protein MarC,K05595,multiple antibiotic resistance protein,K05595 multiple antibiotic resistance protein 
RHAL1_00642,492, , ,hypothetical protein,,,no KO assigned 
RHAL1_00643,978,yhdH, ,"putative oxidoreductase, Zn-dependent and NAD(P)-binding",K19745,acrylyl-CoA reductase (NADPH) [EC:1.3.1.-],K19745 acrylyl-CoA reductase (NADPH) [EC:1.3.1.-] 
RHAL1_00644,225, , ,hypothetical protein,,,no KO assigned 
RHAL1_00645,933,ywlC,2.7.7.87,Threonylcarbamoyl-AMP synthase,K07566,L-threonylcarbamoyladenylate synthase [EC:2.7.7.87],K07566 L-threonylcarbamoyladenylate synthase [EC:2.7.7.87] 
RHAL1_00646,567, , ,hypothetical protein,,,no KO assigned 
RHAL1_00647,213, , ,protein of unknown function,,,no KO assigned 
RHAL1_00648,747, ,3.4.-.-,putative SOS response-associated peptidase,,,no KO assigned 
RHAL1_00649,351, , ,Response regulator receiver domain-containing protein,,,no KO assigned 
RHAL1_00650,1353, , ,3-oxoadipate enol-lactonase,K01055,3-oxoadipate enol-lactonase [EC:3.1.1.24],K01055 3-oxoadipate enol-lactonase [EC:3.1.1.24] 
RHAL1_00651,1104, , ,Leu/Ile/Val-binding protein ,K01999,branched-chain amino acid transport system substrate-binding protein,K01999 branched-chain amino acid transport system substrate-binding protein 
RHAL1_00652,1437, , ,Membrane protein involved in the export of O-antigen and teichoic acid,,,no KO assigned 
RHAL1_00653,918,prmA,2.1.1.-,Ribosomal protein L11 methyltransferase,K02687,ribosomal protein L11 methyltransferase [EC:2.1.1.-],K02687 ribosomal protein L11 methyltransferase [EC:2.1.1.-] 
RHAL1_00654,267, , ,hypothetical protein,,,no KO assigned 
RHAL1_00655,2247, , ,Glycosyltransferase,K20444,O-antigen biosynthesis protein [EC:2.4.1.-],no KO assigned 
RHAL1_00656,258, , ,hypothetical protein,,,no KO assigned 
RHAL1_00657,2538, , ,hypothetical protein,,,no KO assigned 
RHAL1_00658,561,gfa,4.4.1.22,Glutathione-dependent formaldehyde-activating enzyme,K03396,S-(hydroxymethyl)glutathione synthase [EC:4.4.1.22],K03396 S-(hydroxymethyl)glutathione synthase [EC:4.4.1.22] 
RHAL1_00659,336, , ,DNA-binding protein HU (modular protein),,,K03530 DNA-binding protein HU-beta 
RHAL1_00660,1332, , ,putative PAS domain-containing protein,K03406,methyl-accepting chemotaxis protein,no KO assigned 
RHAL1_00661,966, , ,Nitrate ABC transporter substrate-binding protein,K02051,NitT/TauT family transport system substrate-binding protein,K02051 NitT/TauT family transport system substrate-binding protein 
RHAL1_00662,774, , ,hypothetical protein,K06996,uncharacterized protein,K06996 uncharacterized protein 
RHAL1_00663,882,prkB,2.7.1.19,phosphoribulokinase,K00855,phosphoribulokinase [EC:2.7.1.19],K00855 phosphoribulokinase [EC:2.7.1.19] 
RHAL1_00664,1083,fbp_1,3.1.3.11,"Fructose-1,6-bisphosphatase class 1",K03841,"fructose-1,6-bisphosphatase I [EC:3.1.3.11]","K01086 fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37] "
RHAL1_00665,1809, , ,"Flp pilus assembly protein TadD, contains TPR repeats",,,no KO assigned 
RHAL1_00666,897,ispE,2.7.1.148,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase,K00919,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase [EC:2.7.1.148],K00919 4-diphosphocytidyl-2-C-methyl-D-erythritol kinase [EC:2.7.1.148] 
RHAL1_00667,1017, , ,Putrescine-binding periplasmic protein,,,K11069 spermidine/putrescine transport system substrate-binding protein 
RHAL1_00668,1152, , ,hypothetical protein,,,no KO assigned 
RHAL1_00669,966,egtD,2.1.1.44,Histidine N-alpha-methyltransferase,K18911,L-histidine Nalpha-methyltransferase [EC:2.1.1.44],no KO assigned 
RHAL1_00670,1698, , ,hypothetical protein,,,no KO assigned 
RHAL1_00671,1794, , ,hypothetical protein,,,no KO assigned 
RHAL1_00672,195, , ,protein of unknown function,,,no KO assigned 
RHAL1_00673,1485, , ,ABC transporter,,,"K06147 ATP-binding cassette, subfamily B, bacterial "
RHAL1_00674,1257, , ,ABC transporter permease,,,no KO assigned 
RHAL1_00675,681, , ,PRC-barrel domain-containing protein (fragment),,,no KO assigned 
RHAL1_00676,2064, , ,hypothetical protein,,,no KO assigned 
RHAL1_00677,372, , ,hypothetical protein,,,no KO assigned 
RHAL1_00678,1446, ,2.7.7.65,putative Diguanylate cyclase,,,no KO assigned 
RHAL1_00679,1221,aatC,2.6.1.-,putative aminotransferase AatC,K14261,alanine-synthesizing transaminase [EC:2.6.1.-],K14261 alanine-synthesizing transaminase [EC:2.6.1.-] 
RHAL1_00680,858, , ,hypothetical protein,,,no KO assigned 
RHAL1_00681,774,fpr,1.18.1.2,Ferredoxin--NADP reductase,K00528,ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1],K00528 ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1] 
RHAL1_00682,168, , ,hypothetical protein,,,no KO assigned 
RHAL1_00683,648, , ,Hydrolase,,,no KO assigned 
RHAL1_00684,1182, , ,DNA topoisomerase I,,,K03168 DNA topoisomerase I [EC:5.6.2.1] 
RHAL1_00685,660, , ,protein of unknown function,,,no KO assigned 
RHAL1_00686,954,accA,2.1.3.15,Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha,K01962,acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2 2.1.3.1,K01962 acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2 2.1.3.15] 
RHAL1_00687,399, , ,hypothetical protein,K07136,uncharacterized protein,K07136 uncharacterized protein 
RHAL1_00688,1041, , ,hypothetical protein,,,no KO assigned 
RHAL1_00689,465,trmL,2.1.1.207,tRNA (cytidine(34)-2'-O)-methyltransferase,K03216,tRNA (cytidine/uridine-2'-O-)-methyltransferase [EC:2.1.1.207],K03216 tRNA (cytidine/uridine-2'-O-)-methyltransferase [EC:2.1.1.207] 
RHAL1_00690,927, , ,LysR family transcriptional regulator,,,no KO assigned 
RHAL1_00691,447, , ,Transporter family-2 protein,K09936,bacterial/archaeal transporter family-2 protein,K09936 bacterial/archaeal transporter family-2 protein 
RHAL1_00692,1203,paaE_2, ,beta-ketoadipyl CoA thiolase,K00626|K00632 ,acetyl-CoA C-acetyltransferase [EC:2.3.1.9]|acetyl-CoA acyltransferase [EC:2.3.1.16] ,K00632 acetyl-CoA acyltransferase [EC:2.3.1.16] 
RHAL1_00693,1413, , ,hypothetical protein,,,no KO assigned 
RHAL1_00694,1962,kup_2, ,putative potassium transport system protein kup 2,K03549,KUP system potassium uptake protein,K03549 KUP system potassium uptake protein 
RHAL1_00695,94, , ,tRNA-Ala(cgc),,,no KO assigned 
RHAL1_00696,867,cysL, ,HTH-type transcriptional regulator CysL,,,no KO assigned 
RHAL1_00697,585, , ,hypothetical protein,,,no KO assigned 
RHAL1_00698,381,yusQ,5.3.2.-,putative tautomerase YusQ,K01821,4-oxalocrotonate tautomerase [EC:5.3.2.6],K01821 4-oxalocrotonate tautomerase [EC:5.3.2.6] 
RHAL1_00699,1515,degP,3.4.21.107,putative periplasmic serine endoprotease DegP-like protein,K04771,serine protease Do [EC:3.4.21.107],K04771 serine protease Do [EC:3.4.21.107] 
RHAL1_00700,462, , ,MarR family transcriptional regulator,,,"K23775 MarR family transcriptional regulator, organic hydroperoxide resistance regulator "
RHAL1_00701,729, , ,Competence/damage-inducible protein A,,,no KO assigned 
RHAL1_00702,504,gpt,2.4.2.22,Xanthine phosphoribosyltransferase,K00769,xanthine phosphoribosyltransferase [EC:2.4.2.22],K00769 xanthine phosphoribosyltransferase [EC:2.4.2.22] 
RHAL1_00703,666, , ,hypothetical protein,,,no KO assigned 
RHAL1_00704,948, , ,Chaperone DnaJ domain protein,,,no KO assigned 
RHAL1_00705,1359, , ,Peptidase M23B,K06194,lipoprotein NlpD,no KO assigned 
RHAL1_00706,351, , ,hypothetical protein,,,no KO assigned 
RHAL1_00707,366, , ,hypothetical protein,,,no KO assigned 
RHAL1_00708,540, , ,hypothetical protein,,,no KO assigned 
RHAL1_00709,408, , ,protein of unknown function,,,no KO assigned 
RHAL1_00710,330, , ,protein of unknown function,,,no KO assigned 
RHAL1_00711,2739,uvrB, ,UvrABC system protein B,K03702,excinuclease ABC subunit B,K03702 excinuclease ABC subunit B 
RHAL1_00712,225, , ,exported protein of unknown function,,,no KO assigned 
RHAL1_00713,681, , ,hypothetical protein,K08995,putative membrane protein,no KO assigned 
RHAL1_00714,951, , ,hypothetical protein,,,no KO assigned 
RHAL1_00715,1929,dnaK, ,"chaperone Hsp70, co-chaperone with DnaJ",K04043,molecular chaperone DnaK,K04043 molecular chaperone DnaK 
RHAL1_00716,1140,dnaJ, ,"chaperone Hsp40, co-chaperone with DnaK",K03686,molecular chaperone DnaJ,K03686 molecular chaperone DnaJ 
RHAL1_00717,315, , ,hypothetical protein,,,no KO assigned 
RHAL1_00718,456, , ,DJ-1/PfpI family protein (fragment),,,no KO assigned 
RHAL1_00719,408, , ,exported protein of unknown function,,,no KO assigned 
RHAL1_00720,558, , ,putative Membrane protein,K08995,putative membrane protein,K08995 putative membrane protein 
RHAL1_00721,516, , ,putative membrane protein,,,no KO assigned 
RHAL1_00722,759,nth,4.2.99.18,DNA glycosylase and apyrimidinic (AP) lyase (endonuclease III),K10773,endonuclease III [EC:4.2.99.18],K10773 endonuclease III [EC:4.2.99.18] 
RHAL1_00723,204, , ,hypothetical protein,K06884,uncharacterized protein,K06884 uncharacterized protein 
RHAL1_00724,240, , ,Stress-induced protein,K06884,uncharacterized protein,K06884 uncharacterized protein 
RHAL1_00725,1200, , ,"putative arabinose efflux permease, MFS family",,,no KO assigned 
RHAL1_00726,846, , ,Porin family protein,,,no KO assigned 
RHAL1_00727,894, , ,hypothetical protein,,,no KO assigned 
RHAL1_00728,441, , ,hypothetical protein,,,no KO assigned 
RHAL1_00729,450, , ,membrane protein of unknown function,,,no KO assigned 
RHAL1_00730,1260,trpB,4.2.1.20,"tryptophan synthase, beta subunit",K01696,tryptophan synthase beta chain [EC:4.2.1.20],K01696 tryptophan synthase beta chain [EC:4.2.1.20] 
RHAL1_00731,663,ctrD,7.6.2.12,Capsule polysaccharide export ATP-binding protein CtrD,K09689,capsular polysaccharide transport system ATP-binding protein [EC:7.6.2.12],K09689 capsular polysaccharide transport system ATP-binding protein [EC:7.6.2.12] 
RHAL1_00732,1125, , ,hypothetical protein,,,no KO assigned 
RHAL1_00733,74, , ,tRNA-Gly(ccc),,,K14225 tRNA Gly 
RHAL1_00734,1017, , ,protein of unknown function,,,no KO assigned 
RHAL1_00735,99, , ,protein of unknown function,,,no KO assigned 
RHAL1_00736,1143, , ,DNA photolyase FAD-binding protein,,,K01669 deoxyribodipyrimidine photo-lyase [EC:4.1.99.3] 
RHAL1_00737,1443, , ,protein of unknown function,,,no KO assigned 
RHAL1_00738,1869, , ,hypothetical protein,,,no KO assigned 
RHAL1_00739,2298, , ,protein of unknown function,,,no KO assigned 
RHAL1_00740,735, , ,hypothetical protein,,,no KO assigned 
RHAL1_00741,1134, , ,hypothetical protein,,,no KO assigned 
RHAL1_00742,933, , ,LysR family transcriptional regulator,,,no KO assigned 
RHAL1_00743,1149, , ,hypothetical protein,K10778,"AraC family transcriptional regulator, regulatory protein of adaptative respo","K10778 AraC family transcriptional regulator, regulatory protein of adaptative response / methylated"
RHAL1_00744,927, , ,Permease of the drug/metabolite transporter (DMT) superfamily protein,,,no KO assigned 
RHAL1_00745,909, , ,putative copper resistance protein D,K07245,copper resistance protein D,K07245 copper resistance protein D 
RHAL1_00746,369, , ,hypothetical protein,K07156,copper resistance protein C,K07156 copper resistance protein C 
RHAL1_00747,975, , ,hypothetical protein,,,no KO assigned 
RHAL1_00748,453, , ,hypothetical protein,,,no KO assigned 
RHAL1_00749,678, , ,hypothetical protein,,,"K01420 CRP/FNR family transcriptional regulator, anaerobic regulatory protein "
RHAL1_00750,921, , ,LysR family transcriptional regulator,,,no KO assigned 
RHAL1_00751,609, , ,Polyisoprenoid-binding protein,,,no KO assigned 
RHAL1_00752,786, , ,hypothetical protein,K06890,uncharacterized protein,K06890 uncharacterized protein 
RHAL1_00753,1284, , ,Cytochrome b,K00412,ubiquinol-cytochrome c reductase cytochrome b subunit,K00410 ubiquinol-cytochrome c reductase cytochrome b/c1 subunit 
RHAL1_00754,1017, , ,Cytochrome c1 (modular protein),K00413,ubiquinol-cytochrome c reductase cytochrome c1 subunit,K00413 ubiquinol-cytochrome c reductase cytochrome c1 subunit 
RHAL1_00755,396, , ,hypothetical protein,,,no KO assigned 
RHAL1_00756,315, , ,protein of unknown function,,,no KO assigned 
RHAL1_00757,1482, , ,16S ribosomal RNA,,,no KO assigned 
RHAL1_00758,77, , ,tRNA-Ile(gat),,,no KO assigned 
RHAL1_00759,76, , ,tRNA-Ala(tgc),,,K14218 tRNA Ala 
RHAL1_00760,2796, , ,23S ribosomal RNA,,,no KO assigned 
RHAL1_00761,110, , ,5S ribosomal RNA,,,no KO assigned 
RHAL1_00762,77, , ,tRNA-Met(cat),,,K14230 tRNA Met 
RHAL1_00763,1620, , ,Animal haem peroxidase,,,no KO assigned 
RHAL1_00764,894, , ,FAD-binding monooxygenase (fragment),,,no KO assigned 
RHAL1_00765,225, , ,protein of unknown function,,,no KO assigned 
RHAL1_00766,2895, , ,hypothetical protein,,,no KO assigned 
RHAL1_00767,1203,aatA,2.6.1.1,Aspartate aminotransferase A,K00812,aspartate aminotransferase [EC:2.6.1.1],K00812 aspartate aminotransferase [EC:2.6.1.1] 
RHAL1_00768,633, , ,Glutathione S-transferase,K00799,glutathione S-transferase [EC:2.5.1.18],K11209 GSH-dependent disulfide-bond oxidoreductase [EC:1.8.4.-] 
RHAL1_00769,1272, , ,hypothetical protein,,,"K13669 alpha-1,2-mannosyltransferase [EC:2.4.1.-] "
RHAL1_00770,219, , ,hypothetical protein,,,no KO assigned 
RHAL1_00771,345, , ,hypothetical protein,,,no KO assigned 
RHAL1_00772,618, , ,putative TetR family transcriptional regulator,,,"K22295 TetR/AcrR family transcriptional regulator, repressor for neighboring sulfatase "
RHAL1_00773,804,sadH,1.-.-.-,putative oxidoreductase SadH,,,no KO assigned 
RHAL1_00774,1467,ethA,1.14.13.-,FAD-containing monooxygenase EthA,K10215,monooxygenase [EC:1.14.13.-],K10215 monooxygenase [EC:1.14.13.-] 
RHAL1_00775,807,murI,5.1.1.3,Glutamate racemase,K01776,glutamate racemase [EC:5.1.1.3],K01776 glutamate racemase [EC:5.1.1.3] 
RHAL1_00776,1152, , ,hypothetical protein,,,no KO assigned 
RHAL1_00777,411, , ,"Succinate dehydrogenase, cytochrome b556 subunit",K00241,"succinate dehydrogenase / fumarate reductase, cytochrome b subunit",K00241 succinate dehydrogenase cytochrome b subunit 
RHAL1_00778,414, , ,"Succinate dehydrogenase, hydrophobic membrane anchor protein",K00242,"succinate dehydrogenase / fumarate reductase, membrane anchor subunit",K00242 succinate dehydrogenase membrane anchor subunit 
RHAL1_00779,1836,sdhA,1.-.-.-,"succinate dehydrogenase, flavoprotein subunit",K00239,"succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.",K00239 succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1] 
RHAL1_00780,252, , ,hypothetical protein,,,no KO assigned 
RHAL1_00781,213, , ,hypothetical protein,,,no KO assigned 
RHAL1_00782,780,sdhB,1.-.-.-,"succinate dehydrogenase, FeS subunit",K00240,"succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1",K00240 succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1] 
RHAL1_00783,273,rpsT, ,30S ribosomal protein S20,K02968,small subunit ribosomal protein S20,K02968 small subunit ribosomal protein S20 
RHAL1_00784,1191,metC,4.4.1.8,putative cystathionine beta-lyase,,,K01760 cysteine-S-conjugate beta-lyase [EC:4.4.1.13] 
RHAL1_00785,1596, , ,Heparinase,,,no KO assigned 
RHAL1_00786,504, , ,hypothetical protein,,,K23518 O-acetyl-ADP-ribose deacetylase [EC:3.1.1.106] 
RHAL1_00787,336, , ,putative monothiol glutaredoxin ycf64-like protein,K07390,monothiol glutaredoxin,K07390 monothiol glutaredoxin 
RHAL1_00788,237, , ,BolA family transcriptional regulator,,,no KO assigned 
RHAL1_00789,426, , ,hypothetical protein,K08973,putative membrane protein,K08973 protoporphyrinogen IX oxidase [EC:1.3.99.-] 
RHAL1_00790,804, , ,putative aldolase class 2 protein,,,no KO assigned 
RHAL1_00791,738, , ,GntR family transcriptional regulator,,,no KO assigned 
RHAL1_00792,1803,ilvD_1,4.2.1.-,putative dehydratase IlvD1,K01687,dihydroxy-acid dehydratase [EC:4.2.1.9],K22186 xylonate dehydratase [EC:4.2.1.82] 
RHAL1_00793,1206,mro,5.1.3.3,Aldose 1-epimerase,K01785,aldose 1-epimerase [EC:5.1.3.3],K01785 aldose 1-epimerase [EC:5.1.3.3] 
RHAL1_00794,861, , ,SMP-30/gluconolactonase/LRE family protein,,,"K14274 xylono-1,5-lactonase [EC:3.1.1.110] "
RHAL1_00795,894, , ,2-dehydro-3-deoxygalactonokinase,K00883,2-dehydro-3-deoxygalactonokinase [EC:2.7.1.58],K00883 2-dehydro-3-deoxygalactonokinase [EC:2.7.1.58] 
RHAL1_00796,621,dgoA,4.1.2.21,2-oxo-3-deoxygalactonate 6-phosphate aldolase,K01631,2-dehydro-3-deoxyphosphogalactonate aldolase [EC:4.1.2.21],K01631 2-dehydro-3-deoxyphosphogalactonate aldolase [EC:4.1.2.21] 
